toolCode,sectionTitle,indicatorCode,prompt,type,options,stages,isQualitative
HDMA,Communication Skills,HDMA-0001,Does the learner respond when his/her name is called?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0002,Can the learner follow simple one-step instructions?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0003,Can the learner stop an activity when instructed?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0004,Can the learner maintain eye contact during communication?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0005,"Can the learner express basic needs (e.g., hungry, thirsty, toilet)?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0006,Does the learner use at least 200 meaningful words to communicate?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0007,Can the learner engage in simple conversations with familiar people?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0008,"Can the learner answer simple ""What?"" or ""Where?"" questions?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0009,Can the learner retell a familiar story or recent event?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0010,Does the learner recognize and practice letters and sounds using visual or multisensory methods?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0011,Can the learner identify basic 2D shapes?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0012,Can the learner identify simple 3D objects?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0013,Can the learner compare objects based on size or shape?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0014,Can the learner identify colours correctly?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0015,Can the learner sort objects based on colour or size?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0016,Can the learner count objects up to 10?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0017,Can the learner recognize numbers from 1 to 10?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0018,Can the learner match quantities with numbers?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0019,Does the learner understand concepts such as big/small or more/less?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Mathematical Skills,HDMA-0020,"Does the learner understand simple time-related words such as morning, afternoon, before, and after?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0021,Can the learner state his/her own name?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0022,Can the learner identify parents or caregivers by name?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0023,Can the learner recall a phone number with support or independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0024,Does the learner know his/her home address or locality?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0025,Can the learner identify familiar family members in photographs?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0026,"Can the learner identify common places such as school, park, or shop?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0027,Has the learner been exposed to visits to community places?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Functional Academics,HDMA-0028,Can the learner identify common signs such as toilet or exit?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Computer Skills,HDMA-0029,Can the learner recognize a computer or laptop?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Computer Skills,HDMA-0030,Can the learner identify a mouse and keyboard?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Computer Skills,HDMA-0031,Can the learner use a touchscreen appropriately?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Computer Skills,HDMA-0032,Can the learner watch educational content with attention?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Computer Skills,HDMA-0033,Can the learner tap or click simple icons independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Computer Skills,HDMA-0034,Does the learner show interest in digital learning activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0035,Can the learner sit independently with good posture?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
